"coa_id","account_name","account_type","bank","glcode","parent_account","type","note","created_at"
"1","Assets","1","0","1","0","0",NULL,"2021-03-09 11:39:04"
"2","Liability","2","0","2","0","0",NULL,"2021-03-09 11:39:04"
"3","Equity","3","0","3","0","0",NULL,"2021-03-09 11:39:47"
"4","Revenue","4","0","4","0","0",NULL,"2021-03-09 11:39:47"
"5","Expenses","5","0","5","0","0",NULL,"2021-03-09 11:40:05"
"6","Current Assets ","1","0","110","1","0",NULL,"2021-03-09 11:41:24"
"7","Cash In Hand  ","1","0","11010","110","0",NULL,"2021-03-09 11:44:59"
"8","Petty Cash/Imprest Account  ","1","0","1101001","11010","1",NULL,"2021-03-09 11:47:01"
"9","Cash in Bank","1","0","11011","110","0",NULL,"2021-03-09 11:48:34"
"10","Current Account  ","1","0","1101110","11011","0",NULL,"2021-03-09 11:51:17"
"11","Zenith Bank Current Account  ","1","1","110111001","1101110","1",NULL,"2021-03-09 11:53:19"
"12","First City Monument Bank Current Account  ","1","1","110111002","1101110","1",NULL,"2021-03-09 11:59:07"
"13","GTBank Current Account  ","1","1","110111003","1101110","1",NULL,"2021-03-09 12:01:55"
"14","Account Receivable  ","1","0","11013","110","0",NULL,"2021-03-09 12:02:43"
"15","Trade Debtors ","1","0","1101301","11013","1",NULL,"2021-03-09 12:03:24"
"16","Trade Debtors (Appliances) ","1","0","1101302","11013","1",NULL,"2021-03-09 12:04:24"
"17","Inventory  ","1","0","11014","110","0",NULL,"2021-03-09 12:05:17"
"18","Stock (Food Items) ","1","0","1101404","11014","1",NULL,"2021-03-09 12:06:15"
"19","Other Current Assets  ","1","0","11016","110","0",NULL,"2021-03-09 12:06:42"
"20","Payroll Clearing  ","1","0","1101601","11016","1",NULL,"2021-03-09 12:07:17"
"21","Payroll Clearing - Retiree ","1","0","1101602","11016","1",NULL,"2021-03-09 12:07:48"
"22","Fixed Assets and Intangibles  ","1","0","111","1","0",NULL,"2021-03-09 12:08:29"
"23","Office Furniture ","1","0","11111","111","1",NULL,"2021-03-09 12:09:09"
